such,"그런, 그 정도의, 아주"
like,"좋아하다, 원하다, ~와 비슷한, ~와 같이, ~처럼"
any,"어느, 어떤, 아무(것), 조금도"
first,"첫, 첫째, 우선, 맨 먼저, 처음, 차라리"
then,"그때, 그 다음에, 그러고는, 또, 게다가, 그러니까, 당시의"
over,"~위에, 저편으로, 넘어지게, 뒤집어, 너머, ~이상, 끝이 난"
see,"보다, 목격하다, 구경하다, 알다, 이해하다, 만나다"
most,"최대(최고)의, 가장 많음, 대부분, 대단히, 극도로"
should,"~해야 한다, ~일 것이다, ~하여야 한다"
between,"사이에, 가운데, ~간에, ~끼리, ~을 하느라"
people,"사람들, 국민, 일반인들, 대중, ~에 살다"
through,"~을 통해, 사이로, ~을 사이에 두고, 지나, 때문에"
very,"매우, 아주, 정말, 바로 그, 맨(가장)"
where,"어디에, 어디로, 어디에서, 그곳에서"
way,"방법, 방식, 식, 투, 양식, 태도, 길, 훨씬"
many,"많은, 여러, 몇, 다수의, 다양한"
well,"잘, 좋게, 제대로, 철저히, 완전히, 아주, 상당히, 적절한"
how,"어떻게, 어떠하여, 얼마나, 정말, ~하는 대로"
after,"뒤에, 후에, 다음에, 나중에, ~에도 불구하고"
work,"일하다, 작업하다, 작동되다, 효과가 있다, 일, 직장, 업무"
even,"조차, 훨씬, 더 정확히 말하면, ~하기까지 하게, 평편한"
new,"새로운, 새로 산, 현대의, 최신 형태의"
because,"~때문에, ~니까, ~하다고 해서, 왜냐하면"
life,"삶, 생명, 목숨, 생물, 평생, 시절, 수명, 생활"
must,"반드시 ~해야 한다, ~임에 틀림없다, 필수품"
now,"지금, 이제, 오늘날에는, 곧, 즉각, ~이니까"
before,"이전에, ~하기 전에, ~하기까지, 진작, 전에, 예전에"
much,"매우, 많은, 훨씬, 크게, 대부분"
just,"딱, 바로 그 순간에, 간신히, 막, 방금, 그저, 단지, 적절한"
same,"같은, 동일한, 똑같이"
back,"뒤쪽, 등, 허리, 등뼈, 척추, 과거의, 밀린, 뒤로 물러서다"
know,"알다, 알고 있다, 깨닫다, 이해하다"
make,"만들다, 이루다, 벌다, 하다, 정리하다"
use,"쓰다, 사용(이용) 하다, 소비하다, 사용, 쓰임새, 사용 능력"
each,"각각, 각자, 각각의, 각자의"
man,"남자, 사람들, 인류, 일하다(담당하다)"
own,"자신의, 스스로하는, 고유의, 자기의 것, 소유하다, 인정하다"
down,"아래로, 낮은 곳으로, 따라, 넘어져, 내리다, 통틀어, 격추하다"
good,"좋은, 즐거운, 기쁜, 다행스로운, 능한, 선, 도움"
both,"둘 다, 양쪽의, 쌍방의"
long,"긴, 오랜, 장거리의, 힘든, 바쁜, 간절히 바라다"
day,"하루, 날, 요일, 낮, 주간, 시기"
under,"아래에, 소에 미만의, ~에 따르면, 아래쪽의, ~하는 중인"
world,"세계, 세상, 속세, 현세, 지구"
right,"옳은, 맞는, 오른쪽의, 정확히, 즉시, 권리, 바로 잡다"
get,"받다, 얻다, 구하다, 겪다, 되게 하다, 이애하다, 타다"
might,"~일지도 모른다, ~할 수 있다, 힘, 권력"
still,"아직도, 여전히, 그런데도, 훨씬, 가만히 있는, 증류기"
while,"~하는 동안, ~인 데 반하여, ~에도 불구하고, ~까지, 잠시"
part,"일부, 약간 부분, 일원, 구성원, 부품, 배역, 역할, 헤어지다, 반쯤"
little,"작은, 약간의, 조금, 어린, 거의 없는, 그다지"
take,"시간이 걸리다, 가지다, 받다, 얻다, 데려가다, 잡다, 찍다, 먹다"
different,"다른, 차이가 나는, 각각 다른, 각색의, 색다른, 특이한"
too,"너무, 지나치게, 몹시, 아주, 썩, 그것도, ~도 또한"
without,"~없이, ~하지 않고, ~없는"
found,"설립하다, 세우다, ~의 기반을 두다, 주조하다"
place,"장소, 곳, 부위, 부분, 위치, 놓다, 설치하다, 입상하다"
never,"결코, ~않다, 설마, 그럴리가"
go,"가다, 다니다, 떠나다, 하러가다, 되어가다, 시작하다, 계속하다"
here,"여기에, 지금, 이 시점에"
against,"~에 반대하여, ~에 불리한, ~가까이, ~에 비교하여"
case,"경우, 사실, 실정, 사례, 사건, 소송, 용기, 통, 사례"
system,"체계, 제도, 체제, 몸, 계(계통/기관계)"
great,"큰, 엄청난, 대단한, 위대한, 좋은, 영향력이 큰, 중요한"
off,"없어져, 떨어져, 취소된, 쉬는, 할인되는, 상한"
state,"상태, 국가, 정부, 주, 국가의, 진술하다, 명시하다"
need,"필요로 하다, ~해야 하다, 필요(성), 요구, 욕구"
number,"숫자, 번호, 집단, 번호를 매기다, 들어가다"
come,"오다, 이르다, 되다, 나오다, 돌아오다"
think,"생각하다, 사고하다, 예상하다, 계획을 하다"
during,"동안(내내), ~하는 중에, 때"
within,"이내에, 안에, 내부에, 안쪽에, 안쪽, 내부"
hand,"손, 도움, 역할, 일손, 건네주다, 넘겨주다"
high,"높은, 고위의, 고귀한, 많은, 고음의, 최고, 고기압, 도취감"
example,"예, 사례, 본보기, 전형, 전례"
old,"나이든, 오래된, 낡은, 예전, 이전의, 나이가 ~인"
say,"말하다, 표현하다, 나타내다, 발언권, 결정권"
every,"모든, 마다, 하나하나 다, 가능한 모든, 충분한"
often,"자주, 종종, 흔히, 보통"
power,"힘, 권력, 정권, 능력, 기회, 권한, 동력, 작동시키다"
year,"해, 년, 연, 학년, 나이"
again,"한 번 더, 다시, 거기에다가, 또"
thought,"생각, 사고, 심사숙고, 사색, 사상"
few,"많지 않은, 몇몇의, 소수의, 약간의, 적은 수"
order,"순서, 정돈, 질서, 명령, 지시, 주문, 명령하다, 주문하다"
left,"왼쪽의, 좌측의, 좌파, 좌익"
always,"항상, 언제나, 늘, 언제까지나"
set,"놓다, 맞추다, 설정하다, 집합, 위치한, 계획된"
end,"곧, 종료, 종말, 최후, 목적, 목표, 끝내다"
important,"중요한, 중대한, 소중한, 의미 있는, 영향력이 큰, 권위 있는"
water,"물, 수면, 영해, 물을 주다, 눈물이 나다"
small,"작은, 소규모의, 사소한, 소문자의, 거의 없는, 작게"
point,"점, 의견, 요점, 시점, 지점, 끝, 가리키다, 겨누다, 향하다"
away,"떨어져, 다른 데, 자리에 없는, 결석한, 원정 경기로"
find,"찾다, 발견하다, 되찾다, 알게 되다, 여기다, 발견물"
around,"대략, 쯤, 사방에, 빙 둘러, 여기저기, 주변에 있는"
information,"정보, 자료, 지식"
want,"원하다, 바라다, ~해야 한다, 원하는 것, 부족, 결핍, 가난, 비곤"
less,"더 적은, 더 적게, 덜하게, ~을 빼고"
though,"비록 ~일지라도, ~임에도 불구하고, ~이지만, 그렇지만"
form,"종류, 유형, 방식, 서식, 모습, 기량, 솜씨, 구성하다"
home,"집, 가정, 주택, 고향, 시설, 서식지, 가정의, 집에"
public,"일반인의, 대중을 위한, 공공의, 대중"
large,"큰, 많은, 대형의, 대구모의, 광범위한, 거대한"
however,"하지만, 그러나, 그렇지만, 그런데"
last,"마지막의, 가장 최근의, 지난, 계속되다, 견디다"
process,"과정, 절차, 공정, 가공하다, 처리하다"
fact,"사실, 실제, 실상"
human,"인간, 사람, 인간의, 인간적인"
family,"가족, 가정, 가구, 집안 식구, 가문, 가계, 가족의"
among,"~에 둘러싸인, ~의 가운데에, ~중에서, ~사이에, ~간에"
give,"주다, 제공하다, 기부를 하다, 내놓다, 쓰다, 생각을 굽히다"
head,"머리, 책임자, 맨 윗부분, 앞쪽, 향하다, 책임지다, 제목을 붙이다"
far,"멀리, 떨어져, 오래 전에, 훨씬, ~까지, 저쪽의"
since,"~부터, ~한 때로부터, ~때문에, ~여서, 그 이후로"
political,"정치와 관련된, 정치적인, 정당의, 정파의, 정략적인"
until,"~할 때까지, ~까지, ~이 되어 비로소"
law,"법, 사법제도, 규범, 규율, 법칙, 규칙"
data,자료(정보/데이터)
body,"몸, 신체, 몸통, 본체, 중심부, 단체, 많은 양"
course,"강의, 강좌, 과목, 항로, 방향, 방침, 추이, 전개, 흐름"
rather,"꽤, 약간,상당히, 더 정확히 말하면, 오히려, 차라리"
face,"얼굴, 표면, 겉면, 마주 보다, 직면하다, 직사하다"
put,"놓다, 두다, 밀어 넣다, 부착하다, 달다, 처하게 하다"
name,"이름, 성명, 명성, 유명인, 이름을 지어주다, 지명하다"
side,"쪽(측), 편, 옆, 측면, 가(끝), 가장자리"
change,"변하다, 바꾸다, 교체하다, 갈아입다, 환전하다, 변화, 잔돈"
look,"보다, 쳐다보다, 찾아보다, ~처럼 보이다, ~인 것 같다, 외모"
help,"돕다, 거들다, 도움이 되다, 먹다, 지원, 도움, 구조"
become,"~이 되다, ~해지다, ~에 어울리다, 알맞다, 적당하다"
possible,"가능한, 있을 수 있는, 받아들일 수 있는, 가능성 있는 사람"
second,"제2의, 둘째의, 보조의, 다음으로, 지원자, 후원하다"
present,"현재의, 참석한, 존재하는, 선물, 수여하다, 제출하다, 보여주다"
young,"젊은, 어린, 신생의, 젊은이들, 새끼"
every,"어느 때고, 언제든, 한 번이라도, 항상, 도대체"
love,"사랑, 애정, 기쁨, 즐거움, 사랑하다, 대단히 ~하고 싶다"
mind,"마음, 정신, 생각, 사고방식, 언짢아하다, 상관하다"
value,"가치, 중요성, 유용성, 가치관, 값, 가치를 평가하다"
yet,"아직, 이제, 거기에, 또, 지금까지, 그렇지만"
country,"국가, 나라, 지역, 시골, 전원"
person,"사람, 개인, 인물, 인간"
next,"다음의, 이후의, 앞으로, 차기, 다음 사람"
business,"사업, 상업, 장사, 일, 업무, 일, 소관"
general,"일반적인, 대강의, 대체적인, 대략적인, 장군"
room,"방, 객실, 자리, 공간, 여지"
group,"무리, 그룹, 모으다, 모이다, 그룹으로 나누다"
whether,"~인지 아닌지, ~이든지 아니든지"
several,"몇몇의, 각각의, 각자의"
school,"학교, 학부, 학과, 떼(무리), 훈련시키다, 교육하다"
nothing,"아무것도 ~아니다, 조금도 ~않다, 아무것도 없음, 무(無)"
once,"한 번, 언젠가, 하자마자, 할 때"
house,"집, 주택, 가옥, 살 곳을 주다, 보관하다"
whole,"전체의, 전부의, 모든 ,온전한, 한 덩어리로 된, 전체"
book,"책, 저서, 도서, 권, 편, 예약하다, 기록하다"
early,"빠른, 이른, 초기의, 조기의, 일찍, 빨리"
least,"가장 적은, 최소의"
control,"지배, 통제, 제어, 억제, 제어장치, 지배하다, 제어하다"
enough,"필요한 만큼의, 충분한, ~할 만큼, 그런대로, 충분히"
level,"정도, 수준, 규모, 높이, 층, 평평한, 대등한, 동등하게 만들다"
above,"~보다 위에, ~보다 많은, ~을 넘는, ~보다 우위인, 앞에말한"
light,"빛, 광선, 불, 밝은, 연한, 가벼운, 불을 키다, 비추다"
study,"공부, 연구, 학습, 학문, 서재, 공부하다, 배우다, 검토하다"
together,"함께, 같이, 함께 하여, 합의하여, 동시에, 흔들림 없는"
night,"밤, 야간, 밤의, 야간의"
thing,"것, 물건, 사물, 상황, 일, 짓"
self,"모습, 본모습, 자아, 자신, 자기 자신의 이익"
nature,"자연, 천성, 본성, 본질, 종류 유형"
almost,거의
certain,"확실한, 틀림없는, 확신하는, 어떤, 무슨, 어느 정도의, 일부"
question,"질문, 의문, 문제, 질문하다, 의심하다, 의문을 갖다"
sense,"감각, 의식, 느낌, 지각, 일리, 의미, 뜻, 느끼다"
war,"전쟁, 싸움, 투쟁, 반목"
line,"선, 줄, 경계, 계통, 글의 행, 선로, 줄을 세우다"
support,"지지하다, 지원하다, 후원하다, 떠받치다, 지지, 버팀대, 지주"
let,"~하게 해주다, 허락하다, 허용하다, ~하자"
father,"아버지, 조상, 시조, 신부, 아버지가 되다, 창시하다"
mother,"어미, 어머니, 수녀원장, 보살피다"
child,"아이, 어린이, 자식"
able,"~할 수 있는, 재능 있는, 능력 있는"
heart,"심장, 가슴, 마음, 핵심, 하트 모양"
woman,"여자, 여성, 여인, 부인"
tell,"말하다, 알리다, 전하다, 알다, 판단하다"
full,"가득한, 빈 공간이 없는, 배부르게 먹은, 모든, 바쁜"
already,"이미, 벌써, 이전에"
history,"역사, 이력, 내력"
along,"~을 따라, 앞으로, 함께, 진척되어"
open,"열려 있는, 펼쳐진, 영업을 하는, 개방된, 열다, 시작하다"
common,"흔한, 공동의, 공통의, 보통의, 평범한, 공유지, 공원"
TRUE,"사실인, 참인, 맞는, 진짜의, 정확한, 충실한"
view,"관점, 시야, 경관, 견해, ~라고 여기다, 보다, 둘러보다"
half,"반, 절반, 전반, 절반의, 부분적으로"
matter,"문제, 상황, 사태, 물질, 중요하다, 문제되다"
kind,"종류, 유형, 친절한, 다정한"
care,"돌봄, 보살핌, 조심, 걱정, 상관하다, 관심을 가지다, 배려하다"
particular,"특정한, 특별한, 까다로운, 자세한 사실"
result,"결과, 결실, 성과, 발생하다, 생기다"
experience,"경험, 경력, 체험, 겪다, 경험하다"
why,"왜, 어째서, 무엇 때문에"
interest,"관심, 흥미, 호기심, 관심사, 취미, 이자, 이익, 이해관계"
individual,"각각의, 개인의, 1인용의, 개성 있는, 독특한"
white,"흰, 흰색의, 하얀, 백인의, 하얗게 질린, 창백한"
research,"연구, 조사, 연구하다, 조사하다"
money,"돈, 금전, 재산, 금액"
word,"단어, 낱말, 말, 이야기, 약속, 보장, 소식, 소문, 말을 쓰다"
effect,"영향, 결과, 효과, 인상, 소지품, 가져오다"
model,"모형, 본보기, 모범, 모델, 모형을 만들다"
problem,"문제, 곤란한 일, 문제를 일크니는, 지도하기 어려운"
thus,"이렇게 하여, 이와 같이, 따라서, 그로므로"
free,"자유로운, 통제를 받지 않는, 무료의, 풀어주다, 시간을 주다"
moment,"잠깐, 잠시, 순간, 때, 시기"
show,"보여주다, 증명하다, 제시하다, 알려주다, 공연, 프로그램, 전시"
position,"위치, 자리, 상태, 처지, 입장, 직위, 순위, 두다, 자리를 잡다"
real,"진짜의, 현실적인, 실제의, 진정한, 진실된, 정말"
period,"기간, 시기, 시대, 시간, 생리, 시대의, 시대적인"
language,"언어, 표현, 말씨, 의사 전달"
local,"지역의, 현지의, 일부에 대한, 주민, 현지인"
quite,"꽤, 상당히, 지극히, 더없이, 완전히, 전적으로, 아주, 정말"
class,"학급, 수업, 강좌, 계층, 부류, 종류, 우아함, 등급, 일류의"
area,"지역, 구역, 부분, 분야, 면적"
keep,"유지하다, 계속하다, 지체하게 하다, 기르다, 부양하다"
subject,"주제, 사안, 학과, 과목, 주어, 국민, 의존하는, 권한 아래 있는"
land,"육지, 뭍, 땅, 국토, 지역, 시골, 내려앉다, 착륙하다, 도착하다"
therefore,"그러므로, 그러니, 결과로서"
feel,"느끼다, 의식하다, 감지하다, 더듬다, 공감하다, 감촉, 느낌"
century,"100년, 세기"
reason,"이유, 사유, 근거, 이성, 사고력, 판단하다, 추리하다, 사고하다"
believe,"믿다, 생각하다, ~라는 의견을 갖다"
potential,"가능성이 있는, 잠재적인, 가능성, 잠재력"
necessary,"필요한, 필연적인, 불가피한"
past,"지나간, 이전의, 지나서, 넘어서서, 과거, 지난날"
further,"더, 더 나아가, 더 멀리, 뿐만 아니라, 게다가, 발전시키다"
low,"낮은, 아랫부분의, 줄어든, 질 낮은, 낮은 수준, 저기압"
service,"서비스, 사업, 근무, 봉사, 점검, 점검하다"
door,"문, 문간"
short,"짧은, 키가 작은, 부족한, 아쉬운, 무뚝뚝한"
especially,"특히, 특별히, 유난히"
city,"도시, 시, 시민들, ~한 장소"
call,"부르다, 전화하다, 칭하다, 울다, 전화, 요청, 판정"
read,"읽다, 판독하다, 이해하다, 읽기, 독서, 아는 것이 많은"
clear,"분명한, 확실한, 투명한, 맑은, 치우다, 맑아지다, 승인하다"
soon,"곧, 머지않아, 이내, 빨리"
sure,"확신하는, 틀림없이, 반드시, 안정된, 흔들림 없는"
type,"형태, 형, 유형, 종류, 활자, 입력하다, 유형을 알아내다"
air,"공기, 공중, 하늘, 느낌, 태도, 발표하다, 방송하다, 환기시키다"
mean,"의미하다, 뜻하다, 의도하다, 못된, 보통의, 평균의, 중도, 평균"
term,"용어, 말, 학기, 기간, 칭하다"
provide,"제공하다, 공급하다, 주다, 규정하다"
analysis,"분석, 해석, 분석 연구"
health,"건강, 건전, 보건, 의료, 번영, 안녕"
black,"검은, 어두운, 캄캄한, 흑인의, 암담한, 암울한, 검게 만들다"
age,"나이, 연령, 수명, 시기, 시대, 나이가 들다, 노화시키다"
idea,"발상, 생각, 방안, 계획, 감, 느낌, 견해, 신념"
community,"공동체, 사회, 주민, 지역사회, 공동체 의식, 군락, 군집"
single,"단 하나의, 단일의, 1인용의, 독신자, 단식, 일루타"
rate,"속도, 비율, 요금, 평가하다, 등급을 매기다, ~할 가치가 있다"
role,"역할, 역, 배역, 임무, 기능"
field,"들판, 밭, 지역, 분야, 현장, 경기장, 장(場), 처리하다"
market,"시장, 마켓, 상가, 상품을 내놓다"
specific,"구체적인, 명확한, 분명한, 특정한"
policy,"정책, 방침, 방책, 제도, 규정"
approach,"다가가다, 오다, 근접하다, 착수하다, 접근, 처리 방법"
behind,"뒤에, 뒤떨어져, 늦어, 뒤에, 배후에, 과거에"
available,"가능한, 유효한, 구할 수 있는, 여유가 있는"
voice,"목소리, 음성, 발언권, 말로 나타내다, 발음하다"
evidence,"증거, 흔적, 증언, 증언하다, 증거가 되다"
understand,"이해하다, 알아듣다, 알다, 여기다, 생각하다, 추측하다"
hard,"단단한, 굳은, 어려운, 힘든, 곤란한, 열심히 하는, 냉정한"
close,"닫다, 끝나다, 덮다, 가까운, 친밀한, 면밀한, 거의 ~할 것 같은"
story,"이야기, 줄거리, 기사, 일대기, 역사"
account,"계좌, 장부, 이용 계정, 설명, 해석, 단골, 여기다"
future,"미래, 장래, 장래성, 미래의, 향후의"
company,"회사, 단체, 함께 있음, 손님, 중대"
cause,"원인, 이유, 야기하다, 초래하다"
turn,"돌다, 돌아가다, 바뀌다, 넘기다, 돌기, 회전, 순번"
similar,"비슷한, 유사한, 닮은"
education,"교육, 지도, 훈련, 교육학"
toward,"~쪽으로, ~향하여, ~쪽에, ~편에, 임박해 오는"
return,"돌아오다, 반납하다, 되돌려 주다, 돌아옴, 귀환, 반납, 수익"
perhaps,"아마, 어쩌면, 아마도"
society,"사회, 집단, 협회, 단체, 사교계"
strong,"튼튼한, 힘센, 강력한, 확실한, 실력 있는, 쟁쟁한, 건강한"
near,"가까운, 가까이, 인접한, 비슷한, 거의, 가까워지다"
practice,"연습하다, 실천하다, 연습, 실습, 실행, 실천, 관행, 관례, 업무"
party,"파티, 정당, 단체, 당사자, 파티를 하다"
force,"힘, 물리력, 효력, 집단, 무장 병력, 군사력, 강요하다"
due,"~때문에, ~하기로 되어 있는, 적절한, 마땅한"
nor,"~도 아니다, ~도 그렇다"
poor,"가난한, 불쌍한, 좋지 못한, 형편없는, 빈약한"
live,"살다, 생존하다, 생활하다, 인생을 즐기다"
include,"포함하다, 포괄하다, 포함시키다"
morning,"아침, 오전"
play,"놀다, 경기를 하다, 연주하다, 연기하다, 놀이, 연극, 운용"
cost,"값, 비용, 경비, 노력, 비용이 들다, 희생시키다"
function,"기능, 행사, 의식, 함수, 기능하다"
ground,"땅바닥, 지면, 땅, 공터, 구내, 배경, ~이 이유, 좌초하다, 빻은"
alone,"혼자, 다른 사람 없이, 단독으로, 외로운"
attention,"주의, 집중, 주목, 관심, 흥미, 보살핌, 치료, 배려, 차려자세"
food,"식량, 음식, 식품, 먹이"
space,"공간, 땅, 장소, 널찍함, 우주, 기간, 간격을 두다"
theory,"이론, 학설, 의견, 생각"
risk,"위험, 위험 요소, 우려, 위태롭게 하다, 위험을 무릎쓰다"
chapter,"장, 시기, 지부"
major,"주요한, 중대한, 심각한, 장조의, 전공의, 소령, 전공"
late,"늦은, 지각한, 밤이 깊은, 이미 사망한, 늦게, 밤늦게"
leave,"떠나다, 출발하다, 미루다, 그만두다, 그대로 두다, 휴가, 허가"
friend,"친구, 동지, 후원자, 지지자"
method,"방법, 체계성"
energy,"정력, 활기, 기운, 에너지, 동력자원"
rest,"나머지, 휴식, 수면, 식단, 휴식을 취하다, 받치다"
current,"현재의, 지금의, 토용되는, 흐름, 해류, 기류, 경향, 추세"
section,"부분, 부문, 구획, 부품, 부서, 구역, 절개하다"
wife,"아내, 처, 부인"
property,"재산, 소유물, 부동산, 건물, 건물 구내, 속성, 특성"
table,"식탁, 테이블, 탁자, 표, 목록, 순위표"
blood,"피, 혈액, 펼통, 혈연, 유혈, 희생"
although,"비록 ~이긴 하지만, 그러나, 하지만"
front,"앞면, 앞부분, 앞쪽, 일선, 전선, 향하다, 이끌다, 대표하다"
outside,"겉, 바깥쪽, 밖, 겉면의, 외부의, 거의 없는, 밖에"
difficult,"어려운, 힘든, 힘겨운, 곤란한, 까다로운, 비협조적인"
top,"맨 위, 꼭대기, 정상, 위, 최고, 뚜껑, 최고의, 더 높다"
material,"직물, 천, 재료, 자료, 소재, 물질적인, 주목할 만한"
structure,"구조, 구조물, 건축물, 체계, 짜임새, 조직하다, 구조화하다"
son,"아들, 자식, 자손"
court,"법정, 법원, 코트, 대궐, 궁궐, 자초하다"
amount,"총액, 총계, 약, 액수, 얼마가 되다, ~에 해당하다"
main,"가장 큰, 중요한, 주된, 본관, 간선"
culture,"문화, 교양, 세련, 사고방식, 재배, 양식, 배양 조직, 배양하다"
plan,"계획, 방안, 지도, 배치도, 도면, 구상하다"
increase,"증가하다, 인상되다, 늘다, 증가, 인상"
special,"특별한, 특수한, 특유의, 독특한,전문의, 특별한 것"
answer,"대답, 회신, 대응, 답, 해결책, 대답하다, 대응하다, 부합하다"
private,"사유의, 개인 소유의, 사적인, 은밀한, 민간의, 사립의, 이등병"
situation,"상황, 처지, 환경, 위치"
physical,"육체의, 물질의, 물리적인, 자연법칙상의, 물리학의"
character,"성격, 기질, 특징, 특질, 개성, 인력, 글자, 부호, 인물"
else,"또 다른, 그 밖의"
act,"행동, 행위, 법률, 가식, 행동하다, 연기하다, 영향을 미치다"
purpose,"목적, 용도, 의도, 결단력"
beyond,"~저편에, 너머, 이후, 넘어서는, 건너편에, 그 너머에"
run,"달리다, 운영하다, 운행하다, 계속되다, 흐르다, 운행"
influence,"영향, 영향력, 영향을 주다"
fire,"불, 화재, 발사, 총격, 해고하다, 사격하다, 점화되다"
ask,"물어보다, 묻다, 부탁하다, 초대하다, 청하다"
church,"교회, 교단"
object,"물건, 물체, 목적, 목표, 대상, 반대하다, 항의하다"
size,"크기, 규모, 치수, 크기를 표시하다, 크기를 바꾸다"
total,"총, 전체의, 완전한, 전면적인, 합계, 총수, 합계를 내다"
significant,"중요한, 의미 있는, 의미 심장한"
letter,"편지, 글자, 문자, 마크를 찍다, 글자를 쓰다"
big,"큰, 대규모의, 거대한, 거창한, 중대한, 중요한, 크게"
surface,"표면, 지면, 외관, 수면으로 올라오다, 드러나다, 표면화되다"
population,"인구, 주민, 무리, 집단, 개체군, 모집단"
test,"시험, 검사, 시험대, 시금석, 시험하다"
simple,"간단한, 단순한, 소박한, 평범한, 간결한"
hope,"바라다, 희망하다, 희망, 기대"
according,"~에 따라서, 일치하여"
response,"대답, 응답, 회신, 답장, 반응, 대응, 부응"
hear,"듣다, 들리다"
town,"소도시, 읍, 시내, 번화가, 도시 생활"
quality,"질(質), 우수함, 고급, 양질, 자질, 특성, 고급의"
range,"범위, 폭, 다양성, 사정거리, 배열하다"
design,"설계, 디자인, 도안, 계획, 의도, 디자인하다, 고안하다"
program,"프로그램, 프로그램을 짜다"
move,"움직이다, 옮기다, 진행되다, 조치하다, 조치, 행동, 이동"
project,"계획, 기획, 과제, 연구 프로젝트, 목표, 활동"
key,"열쇠, 키, 비결, 건반, 가장 중요한, 핵심적인, 필수적인"
military,"군대, 군인, 군사의, 무력의"
bring,"가져오다, 데려오다, 제공해주다, 야기하다, 기소하다"
talk,"말하다, 이야기하다, 대화, 논의, 회담, 연설, 강연"
art,"미술, 예술, 미술품, 인문학, 기술"
seem,"~인 것 같다, ~하는 것처럼 보이다"
below,"아래에, 밑에, 미만의, 이하의, ~보다 못하여"
pay,"지불하다, 납부하다, 내다, 대가를 치르다, 이득이 되다, 급료"
office,"사무실, 사무소, 사옥, 지위, 공직, 직무, 정권"
paper,"종이, 신문, 서류, 논문, 과제물, 벽지, 도배하다"
issue,"주제, 쟁점, 사안, 호, 발행, 공표하다, 발부하다"
text,"본문, 글, 문서, 원고, 교재, 문자를 보내다"
hundred,"백, 100, 수백의, 많은"
respect,"존경, 경의, 존중, 정중, 면, 사항, 존경하다"
lead,"안내하다, 이끌다, 이르다, 지휘하다, 선두, 선례, 납"
trade,"거래, 무역, 영업, 장사, 업계, 거래하다, 맞바꾸다"
indeed,"정말, 참으로, 사실, 실은"
bad,"안 좋은, 불쾌한, 나쁜, 형편없는, 서투른, 부적절한, 해로운"
modern,"현대의, 근대의, 최신의, 새로운, 선구적인"
loss,"분실, 상실, 손실, 죽음, 인명 손실, 패배"
sound,"소리, 음향, 음, ~처럼 들리다, 견실한, 건강한"
manner,"방식, 태도, 예의, 관습"
dead,"죽은, 작동을 안하는, 활기가 없는, 완전히, 아주"
music,"음악, 곡, 악보"
